"fuel_stations.city","fuel_stations.state","fuel_stations.zip","fuel_stations.plus4","fuel_stations.status_code","fuel_stations.access_code"
"Lake Oswego","OR","97034",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Cornelius","OR","97113",NA,"E","public"
"Cannon Beach","OR","97145",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"Dallas","OR","97338",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Turner","OR","97392",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97405",NA,"E","public"
"Eugene","OR","97405",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Portland","OR","97206",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97305",NA,"E","public"
"Portland","OR","97266",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"Carlton","OR","97111",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Gaston","OR","97119",NA,"E","public"
"Pacific City","OR","97135",NA,"E","public"
"Lake Oswego","OR","97219",NA,"E","public"
"Yachats","OR","97498",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Happy Valley","OR","97015",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Troutdale","OR","97060",NA,"E","public"
"Milwaukie","OR","97222",NA,"E","public"
"Gladstone","OR","97027",NA,"E","public"
"Portland","OR","97229",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"The Dalles","OR","97058",NA,"E","public"
"Burns","OR","97720",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Central Point","OR","97502",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Astoria","OR","97103",NA,"E","public"
"Reedsport","OR","97467",NA,"E","public"
"Rickreall","OR","97371",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Beaverton","OR","97005",NA,"E","private"
"Hillsboro","OR","97124",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Salem","OR","97304",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Mosier","OR","97040",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Eugene","OR","97403",NA,"E","private"
"Otis","OR","97368",NA,"E","public"
"Otis","OR","97368",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Grants Pass","OR","97527",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Portland","OR","97225",NA,"E","public"
"Portland","OR","97215",NA,"E","public"
"Independence","OR","97351",NA,"E","public"
"Portland","OR","97219",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"Newport","OR","97366",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Jordan Valley","OR","97910",NA,"E","private"
"Hillsboro","OR","97124",NA,"E","public"
"Cottage Grove","OR","97424",NA,"E","public"
"Cottage Grove","OR","97424",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Portland","OR","97218",NA,"E","public"
"Redmond","OR","97756",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Seaside","OR","97138",NA,"E","public"
"Mt. Hood","OR","97041",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"The Dalles","OR","97058",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Hermiston","OR","97838",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Portland","OR","97209",NA,"E","private"
"Ontario","OR","97914",NA,"E","public"
"St. Helens","OR","97051",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"Enterprise","OR","97828",NA,"E","public"
"Astoira","OR","97103",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Salem","OR","97304",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Portland","OR","97212",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Portland","OR","97230",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"North Plains","OR","97133",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Hillsboro","OR","97006",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Portland","OR","97213",NA,"E","private"
"Sisters","OR","97759",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Mitchell","OR","97750",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Newberg","OR","97132",NA,"E","private"
"Portland","OR","97227",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"St. Helens","OR","97051",NA,"E","public"
"Portland","OR","97218",NA,"E","public"
"Scappoose","OR","97056",NA,"E","public"
"Warrenton","OR","97146",NA,"E","public"
"Sutherlin","OR","97479",NA,"E","public"
"Springfield","OR","97477",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Enterprise","OR","97828",NA,"E","public"
"Roseburg","OR","97471",NA,"E","public"
"Eugene","OR","97404",NA,"E","public"
"Florence","OR","97439",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Portland","OR","97239",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97203",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Albany","OR","97321",NA,"E","public"
"Albany","OR","97321",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Troutdale","OR","97060",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Deer Island","OR","97054",NA,"E","public"
"Deer Island","OR","97054",NA,"E","public"
"Redmond","OR","97756",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Independence","OR","97351",NA,"E","public"
"Portland","OR","97266",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Otis","OR","97368",NA,"E","public"
"Otis","OR","97368",NA,"E","public"
"Otis","OR","97368",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Scappoose","OR","97056",NA,"E","public"
"Warrenton","OR","97146",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Eugene","OR","97404",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97206",NA,"E","public"
"Portland","OR","97206",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Eugene","OR","97408",NA,"E","public"
"Eugene","OR","97408",NA,"E","public"
"Eugene","OR","97408",NA,"E","public"
"Eugene","OR","97408",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Bend","OR","97701",NA,"E","private"
"Portland","OR","97230",NA,"E","public"
"Forest Grove","OR","97116",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"John Day","OR","97845",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Astoria","OR","97103",NA,"E","public"
"Portland","OR","97211",NA,"E","private"
"Warrenton","OR","97146",NA,"E","private"
"Florence","OR","97439",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Eugene","OR","97408",NA,"E","private"
"Roseburg","OR","97471",NA,"E","private"
"Salem","OR","97301",NA,"E","private"
"Bend","OR","97707",NA,"E","private"
"Sisters","OR","97759",NA,"E","private"
"BEND","OR","97702",NA,"E","private"
"Crescent","OR","97733",NA,"E","private"
"Porland","OR","97232",NA,"E","private"
"Redmond","OR","97756",NA,"E","private"
"Salem","OR","97312",NA,"E","private"
"North Bend","OR","97459",NA,"E","private"
"Sheridan","OR","97378",NA,"E","private"
"Newberg","OR","97123",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Portland","OR","97233",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Roseburg","OR","97471",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","private"
"Oregon City","OR","97045",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Pendleton","OR","97801",NA,"E","public"
"Pendleton","OR","97801",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Eugene","OR","97402",NA,"E","public"
"Portland","OR","97211",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Milwaukie","OR","97267",NA,"E","public"
"Milwaukie","OR","97267",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Portland","OR","97219",NA,"E","public"
"Eugene","OR","97402",NA,"E","public"
"Fort Klamath","OR","97626",NA,"E","public"
"Eugene","OR","97403",NA,"E","private"
"Eugene","OR","97403",NA,"E","private"
"Eugene","OR","97403",NA,"E","private"
"Hillsboro","OR","97123",NA,"E","public"
"Warrenton","OR","97146",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Halsey","OR","97348",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Eugene","OR","97404",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Clatskanie","OR","97016",NA,"E","public"
"Hines","OR","97738",NA,"E","public"
"Milwaukie","OR","97222",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Toledo","OR","97391",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Toledo","OR","97391",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Toledo","OR","97391",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Milwaukee","OR","97222",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"La Pine","OR","97733",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Corvallis","OR","97331",NA,"E","private"
"Elmira","OR","97437",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Portland","OR","97203",NA,"E","public"
"Portland","OR","97203",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Eugene","OR","97403",NA,"E","public"
"Portland","OR","97225",NA,"E","public"
"Portland","OR","97211",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Grants Pass","OR","97527",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Amity","OR","97101",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Medford","OR","97501",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Oregon City","OR","97405",NA,"E","public"
"Cottage Grove","OR","97424",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Hillsboro","OR","97006",NA,"E","public"
"Portland","OR","97222",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97239",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Lebanon","OR","97355",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Medford","OR","97501",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Hillsboro","OR","97006",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Tualatin","OR","97062",NA,"E","public"
"Tualatin","OR","97062",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Corvallis","OR","97333",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Pleasant Hill","OR","97455",NA,"E","public"
"Roseburg","OR","97471",NA,"E","public"
"Astoria","OR","97103",NA,"E","private"
"Coos Bay","OR","97420",NA,"E","public"
"Coos Bay","OR","97420",NA,"E","public"
"Foster","OR","97345",NA,"E","private"
"Glide","OR","97443",NA,"E","private"
"Kimberly","OR","97848",NA,"E","private"
"Kimberly","OR","97848",NA,"E","private"
"Klamath Falls","OR","97603",NA,"E","public"
"Lowell","OR","97452",NA,"E","private"
"North Bend","OR","97459",NA,"E","public"
"Reedsport","OR","97467",NA,"E","public"
"Roseburg","OR","97470",NA,"E","private"
"Roseburg","OR","97470",NA,"E","private"
"Roseburg","OR","97471",NA,"E","private"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Salem","OR","97301",NA,"E","private"
"Troutdale","OR","97060",NA,"E","private"
"Yachats","OR","97498",NA,"E","private"
"Bend","OR","97701",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Yamhill","OR","97148",NA,"E","public"
"Myrtle Creek","OR","97457",NA,"E","public"
"Portland","OR","97224",NA,"E","public"
"Portland","OR","97218",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Wood Village","OR","97060",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97223",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"Bend","OR","97703",NA,"E","public"
"Portland","OR","97225",NA,"E","public"
